icao	lat	lon	type	size	fuel	name
HANK	9.05	36.6	civil	1250	0	Nekemte, Nekemte, Ethiopia
HASD	6.83333	37.7667	civil	1300	0	Soddo, Soddo, Ethiopia
HASK	5.73333	38.9167	civil	1500	1	Shakiso, Shakiso, Ethiopia
HASO	10.0667	34.55	civil	1200	1	Asosa, Asosa, Ethiopia
HATP	7.11667	35.3833	civil	1302	1	Tippi, Tippi, Ethiopia
HAWC	7.16667	37.1667	civil	1219	0	Wacca, Wacca, Ethiopia
HAY	65.201	-161.157	civil	523	0	Haycock, Haycock, Alaska, United States
HBBA	-3.32046	29.3177	civil	5526	1	Bujumbura Intl, Bujumbura, Burundi
HBBE	-3.43333	29.9167	civil	990	0	Gitega, Gitega, Burundi
HBBO	-2.54444	30.0942	civil	998	0	Kirundo, Kirundo, Burundi
HBW	43.6566	-90.3282	civil	939	0	Joshua Sanford Field, Hillsboro, Wisconsin, United States
HC0A	2.67074	44.7929	civil	3203	1	Baledogle, Baledogle, Somalia
HCA	62.1883	-159.775	civil	1216	0	Holy Cross, Holy Cross, Alaska, United States
HCMB	3.09883	43.6242	civil	2016	1	Baidoa, Baidoa, Somalia
HCMC	11.5	49.9167	civil	1100	0	Candala, Candala, Somalia
HCME	7.91667	49.8	civil	960	1	Eil, Eil, Somalia
HCMF	11.2833	49.2	civil	2070	1	Bosaso, Bosaso, Somalia
HCMG	9.51667	49.0833	civil	1600	1	Gardo, Gardo, Somalia
HCMH	9.48778	44.0875	civil	2440	1	Hargeisa, Hargeisa, Somalia
HCMI	10.3833	44.95	civil	4140	1	Berbera, Berbera, Somalia
HCMK	-0.345833	42.4672	civil	3700	1	Kisimayu, Kisimayu, Somalia
HCMM	2.01333	45.305	civil	3176	1	Mogadishu, Mogadishu, Somalia
HCMN	4.7	45.2167	civil	3118	1	Belet Uen, Belet Uen, Somalia
HCMO	5.35	48.5333	civil	1100	1	Obbia, Obbia, Somalia
HCMR	6.76667	47.4333	civil	1100	1	Galcaio, Galcaio, Somalia
HCMS	10.3	50.2333	civil	3175	1	Scusciuban, Scusciuban, Somalia
HCMU	10.6347	47.3833	civil	2380	1	Erigavo, Erigavo, Somalia
HCMV	9.5	45.5667	civil	2800	1	Burao, Burao, Somalia
HDAG	12.2	42.6333	civil	1630	0	Assa-Gueyla, Assa-Gueyla, Djibouti
HDAM	11.5473	43.1593	civil	3139	1	Ambouli, Djibouti, Djibouti
HDCH	11.5175	43.0625	civil	2605	0	Chabelley, Chabelley, Djibouti
HDDK	11.1	42.35	civil	1100	0	Dikhil, Dikhil, Djibouti
HDHE	12.4333	43.3	civil	1500	0	Herkale, Herkale, Djibouti
HE0A	27.3669	33.6682	civil	1605	0	Abu Shar Tentative, Abu Shar Tentative, Egypt
HE0B	29.8744	27.9406	civil	2000	1	Badr El Din, Badr El Din, Egypt
HE0C	30.33	31.4414	civil	7655	1	Inshas, Inshas, Egypt
HE0D	30.0504	31.8395	civil	6584	1	Wadi Al Jandali, Wadi Al Jandali, Egypt
HE0E	23.9741	35.4603	civil	8965	1	Ras Banas, Ras Banas, Egypt
HE0F	29.8218	31.3305	civil	3021	1	Hulwan, Hulwan, Egypt
HE0G	30.8365	30.9359	civil	5599	1	Birma, Birma, Egypt
HE0H	24.9943	33.501	civil	3006	1	Bir Abu Rahal, Bir Abu Rahal, Egypt
HE0I	31.1071	25.4519	civil	6000	1	Habata, Habata, Egypt
HE0J	31.4572	25.2829	civil	2002	0	AS Sallum, Al Bumbah North, Egypt
HE0K	27.8351	33.5258	civil	2388	0	Ras Jimsah New, Ras Jimsah New, Egypt
HE0L	28.1964	33.2061	civil	2134	0	Ras Shukhayr New, Ras Shukhayr New, Egypt
HE0M	31.0002	32.5528	civil	1679	0	Baluza, Baluza, Egypt
HE0N	24.4154	32.9556	civil	2896	0	Daraw, Daraw, Egypt
HE0O	29.3455	25.5067	civil	1800	0	Siwa Oasis North, Siwa Oasis North, Egypt
HE0P	31.0433	30.6645	civil	2965	0	Al Rahmaniyah, Al Rahmaniyah, Egypt
HE0Q	28.1013	30.7303	civil	5996	1	El Minya, El Minya, Egypt
HE0R	26.5572	33.1219	civil	6000	1	Wadi Abu Shihat, Wadi Abu Shihat, Egypt
HE0S	29.5552	25.589	civil	2999	1	Uthman, Uthman, Egypt
HE0T	30.5405	30.5602	civil	6246	1	Gebel El Basur, Gebel El Basur, Egypt
HE0U	28.899	33.2025	civil	1990	0	Abu Rudeis, AS Salihiyah, Egypt
HE0V	29.5541	30.8951	civil	5159	1	Kom Awshim, Kom Awshim, Egypt
HE0W	30.9676	31.4342	civil	5526	1	Al Mansurah, Al Mansurah, Egypt
HE0X	30.7321	27.0192	civil	2007	0	Deir El Gill, Deir El Gill, Egypt
HE0Y	30.2469	32.4923	civil	5368	1	Kibrit, Kibrit, Egypt
HE0Z	30.5727	32.0953	civil	5933	1	Abu Suwayr, Abu Rudeis, Egypt
HE1A	30.4107	33.1532	civil	2512	0	Bir Jifjafah, Bir Jifjafah, Egypt
HE1B	30.3949	31.6014	civil	12004	1	Bilbays, Bilbays, Egypt
HE1C	30.7936	32.0444	civil	9007	1	AS Salihiyah, Almaza, Egypt
HE1D	31.4666	25.878	civil	6024	1	Sidi Barrani, Sidi Barrani, Egypt
HE1E	31.0279	25.8495	civil	3014	1	Misheifa, Misheifa, Egypt
HE1F	30.33	32.2678	civil	13330	1	Faid, Faid, Egypt
HE1G	30.5794	31.1289	civil	2761	0	Quwaysina, Quwaysina, Egypt
HE1H	30.5944	31.6662	civil	6041	1	Az Zaqaziq, Az Zaqaziq, Egypt
HE1I	29.6021	32.6891	civil	1751	0	Ras Sudr, Ras Sudr, Egypt
HE1J	30.0259	32.972	civil	799	0	El Sharqi, El Sharqi, Egypt
HEAR	31.0733	33.8358	civil	5768	1	El Arish Intl, El Arish, Egypt
HEAT	27.0464	31.0119	civil	3021	1	Asyut Intl, Asyut, Egypt
HEAX	31.1817	29.9464	civil	4007	1	Alexandria Intl, Alexandria, Egypt
HEAZ	30.0919	31.3603	military	3252	1	Almaza AB, Al Ismailiyah, Egypt
HEBA	30.9181	29.6958	civil	3404	1	Borg El Arab Intl, Alexandria, Egypt
HEBF	29.2084	31.0166	civil	6525	1	Beni Suef, Beni Suef, Egypt
HEBL	22.3758	31.6117	civil	6015	1	Abu Simbel, Abu Simbel, Egypt
HECA	30.1114	31.4139	civil	10488	1	Cairo Intl, Cairo, Egypt
HECW	30.1164	30.9154	civil	8410	1	Cairo West, Cairo West, Egypt
HED	55.8022	-160.897	civil	628	0	Herendeen Bay, Herendeen Bay, Alaska, United States
